1724103000000,2616.24000000,2625.35000000,2616.11000000,2623.28000000,1225.26040000,1724103899999,3212294.98125200,6385,594.80590000,1559336.40290400,0
1724103900000,2623.29000000,2623.94000000,2615.39000000,2615.39000000,1125.73760000,1724104799999,2950272.42376500,5967,403.61070000,1057746.16548600,0
1724104800000,2615.40000000,2623.48000000,2615.40000000,2622.40000000,1145.81970000,1724105699999,3002037.43501900,6009,453.74360000,1188852.77217500,0
1724105700000,2622.37000000,2623.43000000,2615.96000000,2618.39000000,879.56330000,1724106599999,2304083.63987100,5675,374.47470000,980762.17215800,0
1724106600000,2618.39000000,2627.20000000,2618.00000000,2625.00000000,810.05250000,1724107499999,2124968.67889000,6905,464.85860000,1219310.42631300,0
1724107500000,2625.00000000,2626.87000000,2618.27000000,2622.79000000,1005.79660000,1724108399999,2637402.49898600,7200,392.41440000,1029179.78068300,0
1724108400000,2622.80000000,2624.19000000,2616.42000000,2617.07000000,688.20950000,1724109299999,1802706.10605700,6503,303.35400000,794522.83151200,0
1724109300000,2617.06000000,2640.64000000,2617.02000000,2628.88000000,4212.91960000,1724110199999,11082089.11513000,14968,2503.90490000,6588812.97555100,0
1724110200000,2628.88000000,2635.07000000,2625.75000000,2629.52000000,1185.82450000,1724111099999,3119559.26616000,9030,579.35660000,1524281.50198100,0
1724111100000,2629.52000000,2641.15000000,2629.01000000,2636.36000000,1779.10630000,1724111999999,4690731.45263800,10344,1051.81560000,2773040.70499800,0
1724112000000,2636.36000000,2639.64000000,2628.90000000,2629.44000000,1890.16310000,1724112899999,4979816.31657700,10476,554.02370000,1459246.22096400,0
1724112900000,2629.44000000,2656.71000000,2619.06000000,2654.21000000,6405.52930000,1724113799999,16904201.86892200,32111,3605.53690000,9522936.48037400,0
1724113800000,2654.20000000,2670.51000000,2649.80000000,2652.32000000,9412.11840000,1724114699999,25050231.23387900,42546,4401.06250000,11714337.91877100,0
1724114700000,2652.33000000,2660.32000000,2648.31000000,2659.40000000,2993.91480000,1724115599999,7948088.89781300,16443,1706.01800000,4528805.18229800,0
1724115600000,2659.39000000,2677.00000000,2655.63000000,2656.09000000,5298.03250000,1724116499999,14130931.06626900,25988,3260.94590000,8698949.09839200,0
1724116500000,2656.09000000,2660.00000000,2652.40000000,2652.80000000,2205.50780000,1724117399999,5859107.93308100,13549,961.91870000,2555643.00872300,0
1724117400000,2652.80000000,2656.78000000,2649.01000000,2656.58000000,2112.86210000,1724118299999,5606220.88241500,12110,1145.63850000,3039622.98859800,0
1724118300000,2656.57000000,2657.50000000,2649.40000000,2651.61000000,1770.07020000,1724119199999,4694805.92275000,9917,609.86660000,1617371.62403000,0
1724119200000,2651.61000000,2654.40000000,2646.30000000,2649.00000000,2282.36970000,1724120099999,6049176.95389700,11572,1260.03420000,3340327.60096400,0
1724120100000,2649.00000000,2652.90000000,2644.68000000,2645.31000000,1439.81300000,1724120999999,3813589.81856100,7141,873.75870000,2314637.21530100,0
1724121000000,2645.32000000,2651.44000000,2645.31000000,2650.00000000,1279.85810000,1724121899999,3389154.09262400,6761,847.11240000,2242940.18448100,0
1724121900000,2649.99000000,2656.00000000,2649.99000000,2654.27000000,1481.98610000,1724122799999,3933260.23969100,6132,805.09550000,2136849.40713300,0
1724122800000,2654.28000000,2657.35000000,2651.12000000,2652.96000000,1422.84510000,1724123699999,3776704.67609900,7564,779.38910000,2069077.86250000,0
1724123700000,2652.97000000,2658.60000000,2651.56000000,2658.42000000,971.56470000,1724124599999,2579362.37731000,6172,669.38710000,1777354.86183600,0
1724124600000,2658.42000000,2662.37000000,2657.00000000,2659.88000000,1658.54020000,1724125499999,4411067.64356500,6812,957.52870000,2546762.05085600,0
1724125500000,2659.88000000,2662.00000000,2657.31000000,2661.99000000,1393.97380000,1724126399999,3707765.64697000,6803,712.01410000,1893869.40183900,0
1724126400000,2662.00000000,2669.73000000,2659.72000000,2669.72000000,2986.42270000,1724127299999,7956643.40028700,14577,1842.40730000,4909111.91837100,0
1724127300000,2669.72000000,2671.00000000,2660.58000000,2661.49000000,3144.03650000,1724128199999,8380604.95038100,13706,1446.45080000,3855383.34623800,0
1724128200000,2661.48000000,2667.65000000,2657.63000000,2666.45000000,1606.35460000,1724129099999,4276845.01002000,7945,872.11670000,2322066.69547500,0
1724129100000,2666.44000000,2670.36000000,2662.76000000,2664.51000000,4160.47940000,1724129999999,11094204.86316900,10899,2879.46010000,7679273.77199400,0
1724130000000,2664.51000000,2676.40000000,2664.48000000,2674.02000000,3551.80730000,1724130899999,9483947.05511200,14587,2369.64340000,6327006.54955800,0
1724130900000,2674.03000000,2695.00000000,2673.70000000,2684.02000000,10683.16670000,1724131799999,28715975.16754600,53985,6297.74770000,16923843.97548200,0
1724131800000,2684.02000000,2688.45000000,2679.45000000,2680.74000000,3103.97410000,1724132699999,8329456.47472600,13386,1270.44200000,3409228.62871200,0
1724132700000,2680.75000000,2685.17000000,2676.80000000,2684.01000000,2381.93950000,1724133599999,6385630.05211800,9547,1524.10940000,4086821.56593400,0
1724133600000,2684.01000000,2685.44000000,2676.61000000,2680.40000000,2028.02590000,1724134499999,5435140.74784700,10431,1111.78480000,2979628.15339500,0
1724134500000,2680.40000000,2682.39000000,2676.48000000,2679.47000000,1647.19420000,1724135399999,4411689.30230100,9007,735.14160000,1969067.44255600,0
1724135400000,2679.46000000,2682.15000000,2674.57000000,2674.99000000,3761.58480000,1724136299999,10077307.87011100,11012,1609.65500000,4312565.03480400,0
1724136300000,2674.99000000,2679.30000000,2672.60000000,2675.97000000,1531.24080000,1724137199999,4098876.68493500,6188,917.86200000,2457029.35929700,0
