2025-03-26 14:57:07,098:INFO:Step: {}, Action: 1, Reward: -8.528919354330078, Total Reward: -44.74248147301661
2025-03-26 14:57:07,098:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -44.74248147301661
2025-03-26 14:57:07,098:INFO:Step: {}, Action: 2, Reward: 13.918697134199768, Total Reward: -30.823784338816843
2025-03-26 14:57:07,099:INFO:Step: {}, Action: 1, Reward: 34.102262663065744, Total Reward: 3.2784783242489013
2025-03-26 14:57:07,099:INFO:Step: {}, Action: 2, Reward: 10.910850445448192, Total Reward: 14.189328769697093
2025-03-26 14:57:07,099:INFO:Step: {}, Action: 1, Reward: 24.735897695106928, Total Reward: 38.92522646480402
2025-03-26 14:57:07,099:INFO:Step: {}, Action: 0, Reward: 10.387603282228474, Total Reward: 49.312829747032495
2025-03-26 14:57:07,100:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 49.312829747032495
2025-03-26 14:57:07,100:INFO:Step: {}, Action: 0, Reward: -22.565373213574215, Total Reward: 26.74745653345828
2025-03-26 14:57:07,100:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 26.74745653345828
2025-03-26 14:57:07,100:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 26.74745653345828
2025-03-26 14:57:07,101:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 26.74745653345828
2025-03-26 14:57:07,101:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 26.74745653345828
2025-03-26 14:57:07,101:INFO:Step: {}, Action: 2, Reward: 6.962083665807441, Total Reward: 33.70954019926572
2025-03-26 14:57:07,101:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: 33.70954019926572
2025-03-26 14:57:07,102:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: 33.70954019926572
2025-03-26 14:57:07,102:INFO:Step: {}, Action: 0, Reward: -46.28629519029071, Total Reward: -12.576754991024991
2025-03-26 14:57:07,102:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -12.576754991024991
2025-03-26 14:57:07,102:INFO:Step: {}, Action: 1, Reward: 67.96841858668824, Total Reward: 55.39166359566325
2025-03-26 14:57:07,103:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 55.39166359566325
2025-03-26 14:57:07,103:INFO:Step: {}, Action: 0, Reward: -38.503832852566426, Total Reward: 16.887830743096828
2025-03-26 14:57:07,104:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 16.887830743096828
2025-03-26 14:57:07,104:INFO:Step: {}, Action: 2, Reward: -5.991688126257791, Total Reward: 10.896142616839036
2025-03-26 14:57:07,104:INFO:Step: {}, Action: 0, Reward: -8.482683844632485, Total Reward: 2.4134587722065515
2025-03-26 14:57:07,104:INFO:Step: {}, Action: 0, Reward: 0, Total Reward: 2.4134587722065515
2025-03-26 14:57:07,105:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: 2.4134587722065515
2025-03-26 14:57:07,105:INFO:Step: {}, Action: 0, Reward: 7.14623742659226, Total Reward: 9.559696198798811
2025-03-26 14:57:07,105:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 9.559696198798811
2025-03-26 14:57:07,105:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 9.559696198798811
2025-03-26 14:57:07,106:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 9.559696198798811
2025-03-26 14:57:07,106:INFO:Step: {}, Action: 0, Reward: 5.210418294921979, Total Reward: 14.77011449372079
2025-03-26 14:57:07,106:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 14.77011449372079
2025-03-26 14:57:07,107:INFO:Step: {}, Action: 2, Reward: 7.397295066353188, Total Reward: 22.167409560073978
2025-03-26 14:57:07,107:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: 22.167409560073978
2025-03-26 14:57:07,107:INFO:Step: {}, Action: 1, Reward: 30.836291650408626, Total Reward: 53.0037012104826
2025-03-26 14:57:07,107:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 53.0037012104826
2025-03-26 14:57:07,108:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 53.0037012104826
2025-03-26 14:57:07,108:INFO:Step: {}, Action: 2, Reward: 21.607619629519903, Total Reward: 74.6113208400025
2025-03-26 14:57:07,108:INFO:Step: {}, Action: 1, Reward: -47.186587069732404, Total Reward: 27.4247337702701
2025-03-26 14:57:07,108:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 27.4247337702701
2025-03-26 14:57:07,109:INFO:Step: {}, Action: 0, Reward: -51.32646030732597, Total Reward: -23.901726537055872
2025-03-26 14:57:07,109:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -23.901726537055872
2025-03-26 14:57:07,109:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -23.901726537055872
2025-03-26 14:57:07,109:INFO:Step: {}, Action: 0, Reward: 39.61844197138326, Total Reward: 15.71671543432739
2025-03-26 14:57:07,110:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 15.71671543432739
2025-03-26 14:57:07,110:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: 15.71671543432739
2025-03-26 14:57:07,110:INFO:Step: {}, Action: 2, Reward: -43.94165156073636, Total Reward: -28.22493612640897
2025-03-26 14:57:07,110:INFO:Step: {}, Action: 0, Reward: -5.846615318132596, Total Reward: -34.07155144454157
2025-03-26 14:57:07,111:INFO:Step: {}, Action: 0, Reward: 0, Total Reward: -34.07155144454157
2025-03-26 14:57:07,111:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -34.07155144454157
2025-03-26 14:57:07,112:INFO:Step: {}, Action: 1, Reward: -46.2564373012417, Total Reward: -80.32798874578327
2025-03-26 14:57:07,112:INFO:Step: {}, Action: 0, Reward: -11.732226941114455, Total Reward: -92.06021568689772
2025-03-26 14:57:07,112:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -92.06021568689772
2025-03-26 14:57:07,112:INFO:Step: {}, Action: 0, Reward: 11.402110184403393, Total Reward: -80.65810550249432
2025-03-26 14:57:07,113:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -80.65810550249432
2025-03-26 14:57:07,113:INFO:Step: {}, Action: 1, Reward: 4.4371337383805445, Total Reward: -76.22097176411378
2025-03-26 14:57:07,113:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -76.22097176411378
2025-03-26 14:57:07,114:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -76.22097176411378
2025-03-26 14:57:07,114:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -76.22097176411378
2025-03-26 14:57:07,114:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -76.22097176411378
2025-03-26 14:57:07,114:INFO:Step: {}, Action: 0, Reward: -44.454450042647046, Total Reward: -120.67542180676082
2025-03-26 14:57:07,115:INFO:Step: {}, Action: 0, Reward: 0, Total Reward: -120.67542180676082
2025-03-26 14:57:07,115:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -120.67542180676082
2025-03-26 14:57:07,115:INFO:Step: {}, Action: 2, Reward: 16.398052454809303, Total Reward: -104.27736935195152
2025-03-26 14:57:07,115:INFO:Step: {}, Action: 1, Reward: -62.23582108384335, Total Reward: -166.51319043579485
2025-03-26 14:57:07,116:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -166.51319043579485
2025-03-26 14:57:07,116:INFO:Step: {}, Action: 2, Reward: -6.23838140648786, Total Reward: -172.75157184228271
2025-03-26 14:57:07,116:INFO:Step: {}, Action: 1, Reward: -7.842054743815756, Total Reward: -180.59362658609848
2025-03-26 14:57:07,117:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -180.59362658609848
2025-03-26 14:57:07,117:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -180.59362658609848
2025-03-26 14:57:07,117:INFO:Step: {}, Action: 0, Reward: 34.383972116698004, Total Reward: -146.20965446940048
2025-03-26 14:57:07,117:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -146.20965446940048
2025-03-26 14:57:07,118:INFO:Step: {}, Action: 2, Reward: 0, Total Reward: -146.20965446940048
2025-03-26 14:57:07,118:INFO:Step: {}, Action: 1, Reward: -49.25525555444763, Total Reward: -195.46491002384812
2025-03-26 14:57:07,118:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -195.46491002384812
2025-03-26 14:57:07,118:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -195.46491002384812
2025-03-26 14:57:07,119:INFO:Step: {}, Action: 2, Reward: -4.3684898657227045, Total Reward: -199.8333998895708
2025-03-26 14:57:07,119:INFO:Step: {}, Action: 0, Reward: 18.318481208833333, Total Reward: -181.51491868073748
2025-03-26 14:57:07,119:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -181.51491868073748
2025-03-26 14:57:07,120:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -181.51491868073748
2025-03-26 14:57:07,120:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -181.51491868073748
2025-03-26 14:57:07,120:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -181.51491868073748
2025-03-26 14:57:07,120:INFO:Step: {}, Action: 0, Reward: -32.70668853336414, Total Reward: -214.22160721410162
2025-03-26 14:57:07,121:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -214.22160721410162
2025-03-26 14:57:07,121:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -214.22160721410162
2025-03-26 14:57:07,121:INFO:Step: {}, Action: 1, Reward: 0, Total Reward: -214.22160721410162
2025-03-26 14:57:07,121:INFO:Step: {}, Action: 2, Reward: -5.292405398254355, Total Reward: -219.51401261235597
2025-03-26 14:57:07,122:INFO:Step: {}, Action: 1, Reward: -9.188743011105213, Total Reward: -228.70275562346117
